"repo_id","date","release_count","repo_group_id","repo_git","repo_path","repo_name","repo_added","repo_type","url","owner_id","description","primary_language","created_at","forked_from","updated_at","repo_archived_date_collected","repo_archived","tool_source","tool_version","data_source","data_collection_date","org_name"
150914,2003-01-03,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2003-06-19,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2003-07-26,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2003-11-08,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2004-03-07,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2005-01-01,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2005-02-28,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2005-05-12,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2008-04-08,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2009-03-03,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
