month,unique_contributors,org_name
2023-06,1,openpgpjs
2023-07,1,openpgpjs
2023-10,1,openpgpjs
2023-11,1,openpgpjs
2015-04,1,pendulum-project
2016-03,1,pendulum-project
2012-01,11,php
2012-02,7,php
2012-03,22,php
2012-04,14,php
2012-05,12,php
2012-06,20,php
2012-07,26,php
2012-08,20,php
2012-09,7,php
2012-10,15,php
2012-11,13,php
2012-12,15,php
2013-01,18,php
2013-02,15,php
2013-03,11,php
2013-04,13,php
2013-05,17,php
2013-06,11,php
2013-07,11,php
2013-08,16,php
2013-09,15,php
2013-10,14,php
2013-11,10,php
2013-12,19,php
2014-01,13,php
2014-02,6,php
2014-03,16,php
2014-04,13,php
2014-05,9,php
2014-06,11,php
2014-07,10,php
2014-08,11,php
2014-09,8,php
2014-10,19,php
2014-11,10,php
2014-12,13,php
2015-01,9,php
2015-02,12,php
2015-03,15,php
2015-04,14,php
2015-05,12,php
2015-06,9,php
2015-07,10,php
2015-08,12,php
2015-09,9,php
2015-10,13,php
2015-11,8,php
2015-12,9,php
2016-01,12,php
2016-02,10,php
2016-03,9,php
2016-04,9,php
2016-05,10,php
2016-06,10,php
2016-07,12,php
2016-08,8,php
2016-09,8,php
2016-10,10,php
2016-11,5,php
2016-12,6,php
2017-01,7,php
2017-02,5,php
2017-03,10,php
2017-04,12,php
2017-05,2,php
2017-06,10,php
2017-07,5,php
2017-08,8,php
2017-09,11,php
2017-10,6,php
2017-11,6,php
2017-12,11,php
2018-01,6,php
2018-02,5,php
2018-03,3,php
2018-04,4,php
2018-05,8,php
2018-06,4,php
2018-07,14,php
2018-08,5,php
2018-09,8,php
2018-10,7,php
2018-11,5,php
2018-12,4,php
2019-01,3,php
2019-02,4,php
2019-03,5,php
2019-04,4,php
2019-05,8,php
2019-06,4,php
2019-07,3,php
2019-08,8,php
2019-09,4,php
2019-10,3,php
2019-11,3,php
2019-12,2,php
2020-01,7,php
2020-02,2,php
2020-03,4,php
2020-04,4,php
