month,active_repositories,org_name
2023-07,4,pendulum-project
2023-08,5,pendulum-project
2023-09,2,pendulum-project
2023-10,5,pendulum-project
2023-11,6,pendulum-project
2023-12,4,pendulum-project
2024-01,6,pendulum-project
2024-02,5,pendulum-project
2024-03,4,pendulum-project
2024-04,4,pendulum-project
2012-01,40,php
2012-02,35,php
2012-03,53,php
2012-04,38,php
2012-05,38,php
2012-06,47,php
2012-07,34,php
2012-08,38,php
2012-09,35,php
2012-10,36,php
2012-11,36,php
2012-12,32,php
2013-01,42,php
2013-02,40,php
2013-03,38,php
2013-04,28,php
2013-05,34,php
2013-06,27,php
2013-07,30,php
2013-08,29,php
2013-09,38,php
2013-10,47,php
2013-11,35,php
2013-12,44,php
2014-01,33,php
2014-02,26,php
2014-03,41,php
2014-04,34,php
2014-05,40,php
2014-06,31,php
2014-07,43,php
2014-08,38,php
2014-09,44,php
2014-10,33,php
2014-11,31,php
2014-12,33,php
2015-01,36,php
2015-02,37,php
2015-03,45,php
2015-04,41,php
2015-05,39,php
2015-06,34,php
2015-07,40,php
2015-08,28,php
2015-09,31,php
2015-10,26,php
2015-11,24,php
2015-12,32,php
2016-01,36,php
2016-02,30,php
2016-03,26,php
2016-04,34,php
2016-05,29,php
2016-06,32,php
2016-07,29,php
2016-08,31,php
2016-09,34,php
2016-10,28,php
2016-11,42,php
2016-12,40,php
2017-01,32,php
2017-02,22,php
2017-03,29,php
2017-04,23,php
2017-05,23,php
2017-06,23,php
2017-07,29,php
2017-08,23,php
2017-09,24,php
2017-10,31,php
2017-11,28,php
2017-12,23,php
2018-01,26,php
2018-02,28,php
2018-03,26,php
2018-04,21,php
2018-05,23,php
2018-06,29,php
2018-07,34,php
2018-08,25,php
2018-09,24,php
2018-10,42,php
2018-11,27,php
2018-12,34,php
2019-01,30,php
2019-02,31,php
2019-03,33,php
2019-04,31,php
2019-05,27,php
2019-06,24,php
2019-07,26,php
2019-08,26,php
2019-09,28,php
2019-10,25,php
2019-11,23,php
2019-12,29,php
2020-01,22,php
2020-02,24,php
2020-03,21,php
2020-04,28,php
2020-05,22,php
2020-06,23,php
2020-07,19,php
2020-08,28,php
2020-09,32,php
2020-10,27,php
2020-11,21,php
2020-12,34,php
2021-01,36,php
2021-02,22,php
2021-03,29,php
2021-04,40,php
2021-05,24,php
