time_period,org_name,running_total_open_issues,release_count,unique_contributors,avg_commits_per_contributor,average_closure_days,unique_pull_requests,open_pull_requests,closed_pull_requests,treated
2021-07-01,systemd,1654.0,3.0,20.0,35.266666666666666,121.00175812454611,181.0,1.0,180.0,0
2021-08-01,systemd,1663.0,1.0,23.0,31.901639344262296,103.53852822031592,190.0,4.0,186.0,0
2021-09-01,systemd,1700.0,,18.0,47.57627118644068,80.2915240332244,235.0,3.0,232.0,0
2021-10-01,systemd,1735.0,11.0,20.0,91.09615384615384,69.04426074899156,247.0,0.0,247.0,0
2021-11-01,systemd,1714.0,3.0,18.0,69.51785714285714,33.47368208946899,347.0,6.0,341.0,0
2021-12-01,systemd,1727.0,6.0,20.0,45.05882352941177,101.10823877728174,276.0,5.0,271.0,0
2022-01-01,systemd,1753.0,1.0,13.0,44.17857142857143,69.71115972222222,286.0,3.0,283.0,0
2022-02-01,systemd,1778.0,,18.0,76.97619047619048,64.87014877236787,258.0,2.0,256.0,0
2022-03-01,systemd,1769.0,4.0,15.0,57.48214285714285,57.36472457058508,263.0,9.0,254.0,0
2022-04-01,systemd,1816.0,1.0,13.0,55.282051282051285,68.48529519854907,214.0,3.0,211.0,0
2022-05-01,systemd,1849.0,4.0,15.0,42.095238095238095,63.3166794418239,280.0,1.0,279.0,0
2022-06-01,systemd,1872.0,1.0,16.0,44.50980392156863,75.38295696548822,211.0,4.0,207.0,0
2022-07-01,systemd,1887.0,,19.0,35.06666666666667,86.05083167989417,256.0,1.0,255.0,0
2022-08-01,systemd,1897.0,6.0,15.0,46.19718309859155,64.14555261127356,335.0,2.0,333.0,0
2022-09-01,systemd,1913.0,,11.0,45.58064516129032,61.13477648347272,319.0,4.0,315.0,0
2022-10-01,systemd,1962.0,5.0,18.0,31.698630136986303,74.28993920431421,271.0,8.0,263.0,0
2022-11-01,systemd,2009.0,,16.0,45.014084507042256,34.92899385771911,293.0,15.0,278.0,0
2022-12-01,systemd,2027.0,2.0,9.0,44.65,35.63888555021367,214.0,6.0,208.0,0
2023-01-01,systemd,2028.0,1.0,16.0,46.78333333333333,38.11519945987654,326.0,5.0,321.0,0
2023-02-01,systemd,2011.0,6.0,14.0,40.46551724137931,35.07700245426149,298.0,5.0,293.0,0
2023-03-01,systemd,2050.0,,7.0,63.69642857142857,54.73929995519713,420.0,8.0,412.0,0
2023-04-01,systemd,2050.0,2.0,11.0,49.523809523809526,27.637676713440243,393.0,7.0,386.0,0
2023-05-01,systemd,2044.0,5.0,7.0,58.11111111111112,26.502729552469138,368.0,4.0,364.0,0
2023-06-01,systemd,1990.0,3.0,9.0,60.333333333333336,38.39329561546841,298.0,11.0,287.0,0
2023-07-01,systemd,2029.0,13.0,4.0,71.38461538461539,40.23943488786952,347.0,12.0,335.0,0
2023-08-01,systemd,2056.0,4.0,3.0,57.66129032258065,27.72698441951567,397.0,6.0,391.0,0
2023-09-01,systemd,2110.0,17.0,5.0,65.73846153846154,28.998231904619672,348.0,2.0,346.0,0
2023-10-01,systemd,2113.0,1.0,6.0,54.53731343283582,17.832910610465117,387.0,14.0,373.0,1
2023-11-01,systemd,2117.0,12.0,7.0,60.05084745762712,12.73893614969136,417.0,13.0,404.0,1
2023-12-01,systemd,2144.0,12.0,6.0,48.16393442622951,18.239574980908746,378.0,6.0,372.0,1
2024-01-01,systemd,2145.0,7.0,7.0,54.5,10.03256973022405,494.0,17.0,477.0,1
2024-02-01,systemd,2168.0,4.0,5.0,35.26229508196721,6.789400011770245,356.0,14.0,342.0,1
2024-03-01,systemd,2188.0,2.0,7.0,29.402985074626866,7.080193899782135,483.0,25.0,458.0,1
2024-04-01,systemd,2156.0,,1.0,21.363636363636363,2.3324966613247864,322.0,31.0,291.0,1
2013-08-01,tc39,7.0,,4.0,1.8333333333333333,22.557033564814816,2.0,0.0,2.0,0
2013-09-01,tc39,6.0,,3.0,6.777777777777778,121.68591435185184,1.0,0.0,1.0,0
2013-10-01,tc39,5.0,,6.0,17.0,94.93008969907407,,,,0
2013-11-01,tc39,7.0,,7.0,3.25,309.7139390432099,1.0,0.0,1.0,0
2013-12-01,tc39,8.0,,4.0,5.833333333333333,4.118327546296296,1.0,0.0,1.0,0
2014-01-01,tc39,11.0,,7.0,5.181818181818182,269.0270563271605,33.0,0.0,33.0,0
2014-02-01,tc39,12.0,,3.0,61.5,384.4885763888889,3.0,0.0,3.0,0
2014-03-01,tc39,16.0,,5.0,2.857142857142857,268.5173611111111,4.0,0.0,4.0,0
2014-04-01,tc39,20.0,,6.0,8.4,448.3875763888889,11.0,0.0,11.0,0
2014-05-01,tc39,22.0,,2.0,3.3076923076923075,354.3518788580247,8.0,0.0,8.0,0
2014-06-01,tc39,23.0,,6.0,8.363636363636363,343.1659722222222,3.0,0.0,3.0,0
2014-07-01,tc39,43.0,,4.0,3374.681818181818,203.80091995221028,23.0,0.0,23.0,0
2014-08-01,tc39,50.0,,4.0,50.92857142857143,284.1046369949495,20.0,0.0,20.0,0
2014-09-01,tc39,75.0,,4.0,14.3,213.3586567644033,22.0,0.0,22.0,0
2014-10-01,tc39,78.0,,2.0,14.823529411764708,176.61824074074073,29.0,0.0,29.0,0
2014-11-01,tc39,74.0,,2.0,40.16666666666666,182.71394097222225,11.0,0.0,11.0,0
2014-12-01,tc39,80.0,,6.0,825.0,201.4711261574074,17.0,0.0,17.0,0
2015-01-01,tc39,91.0,4.0,3.0,12.545454545454543,83.64749245169082,17.0,0.0,17.0,0
2015-02-01,tc39,100.0,,3.0,27.45,200.37982709034796,36.0,0.0,36.0,0
2015-03-01,tc39,112.0,1.0,5.0,45.56521739130435,205.8469276433692,43.0,0.0,43.0,0
2015-04-01,tc39,103.0,,7.0,87.6842105263158,146.54336061507937,41.0,0.0,41.0,0
2015-05-01,tc39,137.0,,3.0,50.6764705882353,110.45502055921052,72.0,0.0,72.0,0
2015-06-01,tc39,154.0,,4.0,116.08333333333331,166.48993811728394,64.0,0.0,64.0,0
2015-07-01,tc39,160.0,1.0,5.0,241.28571428571428,142.23573605599648,102.0,0.0,102.0,0
2015-08-01,tc39,151.0,12.0,3.0,209.2333333333333,146.3422123557984,61.0,0.0,61.0,0
2015-09-01,tc39,197.0,6.0,4.0,17.38235294117647,238.55349695419105,45.0,0.0,45.0,0
2015-10-01,tc39,219.0,6.0,3.0,12.75,47.67154150973007,75.0,0.0,75.0,0
2015-11-01,tc39,248.0,2.0,,493.46153846153845,210.5848200635228,71.0,0.0,71.0,0
2015-12-01,tc39,250.0,4.0,3.0,24.696969696969692,282.8585654008439,63.0,0.0,63.0,0
