release_month,release_count,org_name
2023-05-01,3,streamich
2023-06-01,16,streamich
2023-07-01,4,streamich
2023-08-01,1,streamich
2023-09-01,6,streamich
2023-10-01,3,streamich
2023-11-01,41,streamich
2023-12-01,43,streamich
2024-01-01,6,streamich
2024-02-01,14,streamich
2024-03-01,26,streamich
2024-04-01,21,streamich
2023-05-01,161,dbus2
2023-06-01,8,dbus2
2024-02-01,32,dbus2
2024-03-01,1,dbus2
