month,unique_pull_requests,open_pull_requests,closed_pull_requests,org_name
2020-03,157,0,157,rubygems
2020-04,138,1,137,rubygems
2020-05,123,2,121,rubygems
2020-06,138,0,138,rubygems
2020-07,139,2,137,rubygems
2020-08,61,0,61,rubygems
2020-09,65,1,64,rubygems
2020-10,86,0,86,rubygems
2020-11,62,2,60,rubygems
2020-12,124,3,121,rubygems
2021-01,102,0,102,rubygems
2021-02,83,0,83,rubygems
2021-03,84,2,82,rubygems
2021-04,62,1,61,rubygems
2021-05,69,0,69,rubygems
2021-06,59,0,59,rubygems
2021-07,76,1,75,rubygems
2021-08,69,0,69,rubygems
2021-09,60,2,58,rubygems
2021-10,93,2,91,rubygems
2021-11,87,0,87,rubygems
2021-12,106,1,105,rubygems
2022-01,86,3,83,rubygems
2022-02,60,0,60,rubygems
2022-03,64,1,63,rubygems
2022-04,95,3,92,rubygems
2022-05,85,3,82,rubygems
2022-06,122,3,119,rubygems
2022-07,256,6,250,rubygems
2022-08,149,1,148,rubygems
2022-09,80,4,76,rubygems
2022-10,65,3,62,rubygems
2022-11,76,2,74,rubygems
2022-12,176,1,175,rubygems
2023-01,229,4,225,rubygems
2023-02,203,1,202,rubygems
2023-03,298,10,288,rubygems
2023-04,160,4,156,rubygems
2023-05,156,2,154,rubygems
2023-06,140,0,140,rubygems
2023-07,161,2,159,rubygems
2023-08,184,3,181,rubygems
2023-09,177,5,172,rubygems
2023-10,189,1,188,rubygems
2023-11,160,4,156,rubygems
2023-12,202,2,200,rubygems
2024-01,222,8,214,rubygems
2024-02,164,10,154,rubygems
2024-03,124,8,116,rubygems
2024-04,117,19,98,rubygems
2016-05,1,0,1,rustls
2016-07,6,0,6,rustls
2016-08,2,0,2,rustls
2016-09,3,0,3,rustls
2016-10,2,0,2,rustls
2016-11,3,0,3,rustls
2016-12,3,0,3,rustls
2017-01,4,0,4,rustls
2017-02,4,0,4,rustls
2017-03,4,0,4,rustls
2017-04,1,0,1,rustls
2017-05,15,0,15,rustls
2017-06,12,0,12,rustls
2017-07,2,0,2,rustls
2017-08,11,0,11,rustls
2017-09,17,0,17,rustls
2017-10,3,0,3,rustls
2017-11,5,0,5,rustls
2017-12,5,0,5,rustls
2018-01,1,0,1,rustls
2018-02,3,0,3,rustls
2018-03,1,0,1,rustls
2018-04,6,0,6,rustls
2018-05,2,0,2,rustls
2018-06,6,0,6,rustls
2018-07,6,0,6,rustls
2018-08,3,0,3,rustls
2018-09,2,0,2,rustls
2018-10,1,0,1,rustls
2018-11,5,0,5,rustls
2018-12,1,0,1,rustls
2019-01,25,0,25,rustls
2019-02,1,0,1,rustls
2019-03,8,0,8,rustls
2019-05,6,0,6,rustls
2019-06,9,0,9,rustls
