month,unique_contributors,org_name
2023-11,3,openpgpjs
2023-12,1,openpgpjs
2024-01,2,openpgpjs
2024-02,2,openpgpjs
2024-03,1,openpgpjs
2020-02,1,pendulum-project
2022-01,4,pendulum-project
2022-02,4,pendulum-project
2022-03,5,pendulum-project
2022-04,5,pendulum-project
2022-05,11,pendulum-project
2022-06,6,pendulum-project
2022-07,6,pendulum-project
2022-08,6,pendulum-project
2022-09,8,pendulum-project
2022-10,10,pendulum-project
2022-11,9,pendulum-project
2022-12,7,pendulum-project
2023-01,11,pendulum-project
2023-02,10,pendulum-project
2023-03,11,pendulum-project
2023-04,12,pendulum-project
2023-05,9,pendulum-project
2023-06,6,pendulum-project
2023-07,10,pendulum-project
2023-08,10,pendulum-project
2023-09,5,pendulum-project
2023-10,15,pendulum-project
2023-11,11,pendulum-project
2023-12,14,pendulum-project
2024-01,9,pendulum-project
2024-02,5,pendulum-project
2024-03,8,pendulum-project
2024-04,3,pendulum-project
2012-01,78,php
2012-02,74,php
2012-03,94,php
2012-04,70,php
2012-05,69,php
2012-06,63,php
2012-07,63,php
2012-08,77,php
2012-09,73,php
2012-10,58,php
2012-11,62,php
2012-12,64,php
2013-01,75,php
2013-02,66,php
2013-03,73,php
2013-04,60,php
2013-05,55,php
2013-06,80,php
2013-07,73,php
2013-08,63,php
2013-09,65,php
2013-10,82,php
2013-11,66,php
2013-12,67,php
2014-01,70,php
2014-02,60,php
2014-03,72,php
2014-04,75,php
2014-05,76,php
2014-06,64,php
2014-07,90,php
2014-08,79,php
2014-09,80,php
2014-10,63,php
2014-11,64,php
2014-12,79,php
2015-01,81,php
2015-02,78,php
2015-03,80,php
2015-04,64,php
2015-05,75,php
2015-06,84,php
2015-07,57,php
2015-08,69,php
2015-09,78,php
2015-10,73,php
2015-11,56,php
2015-12,65,php
2016-01,64,php
2016-02,61,php
2016-03,63,php
2016-04,66,php
2016-05,58,php
2016-06,75,php
2016-07,83,php
2016-08,70,php
2016-09,65,php
2016-10,60,php
2016-11,77,php
2016-12,78,php
2017-01,81,php
2017-02,62,php
2017-03,65,php
2017-04,66,php
2017-05,51,php
2017-06,81,php
2017-07,76,php
2017-08,59,php
2017-09,58,php
2017-10,60,php
2017-11,72,php
2017-12,57,php
2018-01,50,php
2018-02,66,php
2018-03,62,php
2018-04,54,php
2018-05,35,php
2018-06,61,php
2018-07,65,php
2018-08,63,php
2018-09,53,php
2018-10,57,php
2018-11,57,php
2018-12,53,php
2019-01,58,php
2019-02,85,php
2019-03,75,php
2019-04,68,php
2019-05,57,php
2019-06,50,php
2019-07,55,php
2019-08,68,php
2019-09,59,php
2019-10,62,php
2019-11,46,php
